titulo;precio;ubicacion;descripcion;url;litros_detectados;ala_detectada;cumple_criterios;fecha_publicacion;envio;estado;imagen
Tabla Wingfoil Reedin Feather 138l;999.0;Tarifa, 11380;"Tabla de wingfoil Reedin Feather con 138 litros de volumen. Diseño moderno y ligero.

- Modelo: Feather
- Volumen: 138L
- Color: Blanco con detalles grises y negros
- Diseño con pads antideslizantes
- Incluye boardbag


[F-One Rocket, Duotone Sky, Gong Hipe, Naish Hover, Starboard TakeOff, North Seek, KT Ginxu, Cabrinha Code, Slingshot Outwit, Appletree Appleslice, Armstrong Forward, RRD Beluga, Tabou Pocket, Ensis RocknRoll, Sunova Aviator, Takoon Comet, Reedin Feather, Kalama E3, AK Phazer, Omen Flux, AFS Fire, Freedom Rubix, PPC Soar, Sabfoil Tormento, Eleveight Escape]";https://es.wallapop.com/item/tabla-wingfoil-reedin-feather-138l-1221921518;[138];[];False;2026-06-12;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/k7/i0/__/c10420p1221921518/i6235230543.jpg?pictureSize=W640
Alquiler Equipo Wingfoil;1.0;Moaña, 36950;"Vas a un spot en el que no navegas habitualmente y necesitas material diatinto o quieres probar algo nuevo? En Foil Fanatics tenemos disponibles equipos de alta gama para que pruebes, disfrutes siempre. Enviamos a toda peninsula + baleares. posibilidad de alquiler de larga duracion!

material disponible:

wing ozone:
wasp v2: 4m, 6m
wasp v3: 3.6m, 4.3m, 5.0m, 5.7m
flow 5m, 5.7m
fusion: 5m

foils full carbon:

apex, mastil 90cm, alas delanteras: 950, 1250, 1500, 1200 LA (kite)

sabfoil kraken, plato o tuttle, 83cm, 93cm
ala delanteras: w1100 2100cm2, medusa 799 1100cm2

tablas ozone:
apex kite foil
rise full carbon 75L, 90L";https://es.wallapop.com/item/alquiler-equipo-wingfoil-1007174941;[75, 90];[3.6, 4, 4.3, 5, 5.7, 6];False;2026-07-08;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/gn/n9/__/c10420p1007174941/i4900591101.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/gn/n9/__/c10420p1007174941/i4900591135.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/gn/n9/__/c10420p1007174941/i4900591142.jpg?pictureSize=W640
Equipo wingfoil completo;850.0;Murcia, 30010;"Conjunto completo GONG de wing foil, perfecto para iniciarse:

-Tabla hinchable GONG HIPE 5.5 (145l)

-Wing GONG Neutra V.2 (6m2)

-Foil GONG Allvator V2 X-Over XXL     con dos mástiles (65 cm y 85 cm).

-Todas las bolsas de transporte originales y todos los accesorios (hinchador, tornillos, cinchas…)

- traje de neopreno, pantalones   de neopreno y casco, talla L.

Equipo con menos de 10 baños, sin óxidos, sin pinchazos ni reparaciones, en perfecto estado.";https://es.wallapop.com/item/equipo-wingfoil-completo-1278990598;[145];[6];True;2026-07-07;Envío disponible;Reservado;https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501338.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501420.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501396.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501360.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501380.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501414.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501429.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501437.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501372.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/h7/__/c10420p1278990598/i6600501350.jpg?pictureSize=W640
Cabrinha Macro Air 140L Tabla Wingfoil;400.0;Castelldefels, 08860;"Tabla de wingfoil Cabrinha Macro Air de 140 litros. 
hinchable
para aprender es perfecta
muy estable";https://es.wallapop.com/item/cabrinha-macro-air-140l-tabla-foil-1183802767;[140];[];False;2026-06-08;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/jk/t0/__/c10420p1183802767/i5978642825.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jk/t0/__/c10420p1183802767/i5978642851.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/jk/t0/__/c10420p1183802767/i5978642837.jpg?pictureSize=W640
Ala Wingfoil Duotone 6.0;320.0;Palma de Mallorca, 07002;"Ala de wingfoil Duotone de 6.0 metros cuadrados. Diseñada para ofrecer un rendimiento óptimo en diversas condiciones.

- Color principal gris y verde menta.
- Ventanas transparentes para visibilidad.
- Logo de Duotone visible.
Incluye bolsa de transporte";https://es.wallapop.com/item/ala-wingfoil-duotone-6-0-1267543078;[];[6];False;2026-07-06;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/ky/nu/__/c10420p1267543078/i6529032046.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/nu/__/c10420p1267543078/i6529032096.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/nu/__/c10420p1267543078/i6529032073.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/nu/__/c10420p1267543078/i6529032053.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/nu/__/c10420p1267543078/i6529032061.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/ky/nu/__/c10420p1267543078/i6529032084.jpg?pictureSize=W640
Vela Wingfoil North Nova Pro 6m2 2025;625.0;Torrelles de Llobregat, 08629;"Vela de wingfoil North Nova Pro de 6m2 del modelo 2025. Diseñada para ofrecer un rendimiento excepcional.

- Color blanco con detalles en negro y azul.
- Ventanas transparentes para visibilidad.
- ningún desperfecto 
-incluye la botavara de carbono";https://es.wallapop.com/item/vela-wingfoil-north-nova-pro-6m2-2025-1278843879;[];[6];False;2026-07-05;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825074.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825130.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825145.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825092.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825082.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825087.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825103.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825115.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l5/e2/__/c10420p1278843879/i6599825160.jpg?pictureSize=W640
Tabla de WINGFOIL Naish 140L;810.0;Barcelona, 08003;"🌊¡Ponemos a la venta nuestro material de Escuela!!

🦅 Tabla Wing Foil 140L
🏆 Marca: Naish
📐 Medidas: 140L - 6’6” x 33” x 4 3/5”
FULL CARBON

🪢 Leash +30€
🔩 Tornillaje +20€

✨ Estado del producto:
✅ Muy buenas condiciones, muy poco uso
✅ Totalmente revisado y comprobado.
✅ 6 meses de garantia


🏠 Passate por nuestra escuela a verla 
📦 Envíos gratuitos
📲 Contáctanos sin compromiso:
💬 Escríbenos por WhatsApp o llámanos al +34 605684056 📞

🏠 Passate por nuestra escuela a verla:
📍Psg. Joan Borbo, 78, Local 7 / La Barceloneta";https://es.wallapop.com/item/tabla-de-wingfoil-naish-952744957;[140];[];False;2025-12-18;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/fr/8m/__/c10420p952744957/i3584945774.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/fr/8m/__/c10420p952744957/i3585621208.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/fr/8m/__/c10420p952744957/i3585621200.jpg?pictureSize=W640
Vela North Nova 6m;400.0;Palma de Mallorca, 07005;"Vela de wingfoil North Nova de 6 metros. Se encuentra en buen estado.

- Diseño moderno y funcional.
- Marca: North Sails.
- Modelo: Nova.
- Tamaño: 6.0 m².";https://es.wallapop.com/item/vela-north-nova-6m-1268481055;[];[6];False;2026-06-02;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kz/7y/__/c10420p1268481055/i6534730468.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kz/7y/__/c10420p1268481055/i6534730578.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kz/7y/__/c10420p1268481055/i6534730660.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kz/7y/__/c10420p1268481055/i6534730805.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kz/7y/__/c10420p1268481055/i6534731034.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kz/7y/__/c10420p1268481055/i6534731143.jpg?pictureSize=W640
Ala F-ONE Strike V2 WCW 6 m;330.0;Badajoz, 06003;"Potente y ligera ala de  Wingfoil F-ONE Strike v2 WCW siendo más estrecha que otros modelos, para no dar con las puntas en el agua
De 6 metros cuadrados.
En perfecto, estado, muy poco uso, sin  reparación.";https://es.wallapop.com/item/ala-f-one-strike-wcw-6-m-1263838131;[];[6];False;2026-06-21;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693125.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693183.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693172.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693159.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693152.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693147.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693142.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693138.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693179.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kw/gf/__/c10420p1263838131/i6506693163.jpg?pictureSize=W640
Tabla Gong Cruzader 8.2 145L;499.0;Berben, 11500;"Tabla Gong Cruzader de 8.2 19 1/2 7 3/16 145L
En excelente estado, un toque en la popa por la parte superior hecho en el garaje al guardarla, únicamente es pintura (se podría entregar reparado si se desea, no se repara para que se vea realmente el toque) 

Perfecta para SUP foil, downwind, ligthwind o flat start.

Literalmente la tabla corre sola bombeando y sale al volar casi sin esfuerzo. 

Se acepta cambio por tabla de este estilo de 20 maximo de manga y 6.3 de eslora o midlength de unos 100L

invento/ foil/hydrofoil/wingfoil/kitefoil/duotone/onada/olas/fanatic/gong/slingshot/zaoli/ion/north/flysurfer/wingfoil/ozone/fone/cabrinha";https://es.wallapop.com/item/tabla-gong-cruzader-8-2-145l-1270834762;[100, 145];[];False;2026-07-05;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929139.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929154.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929196.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929159.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929183.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929191.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929201.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929166.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929206.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/l0/me/__/c10420p1270834762/i6550929173.jpg?pictureSize=W640
