titulo;precio;ubicacion;descripcion;url;litros_detectados;ala_detectada;cumple_criterios;fecha_publicacion;envio;estado;imagen
Tabla wingfoil Gong Mint 4’10 65L;325.0;Frank Espinos, 03550;"Tabla de wingfoil Gong Mint de 4'10 y 65 litros. Ninguna reparación. Muy polivalente y ligera. Sale muy fácil del agua gracias a su diseño y permite progresar mucho. 

- Tecnología FSP (full carbon).
- Superficie antideslizante en la cubierta.
- tiene cinta cubre cantos para protegerlos que se tendría que quitar o cambiar.
- Incluye footstraps.
- Incluye funda.

Visible en Alicante Playa San Juan.";https://es.wallapop.com/item/tabla-wingfoil-gong-mint-410-65l-1258730333;[65];[];False;2026-06-27;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kt/ey/__/c10420p1258730333/i6473513861.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/ey/__/c10420p1258730333/i6473513877.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/ey/__/c10420p1258730333/i6473513879.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/ey/__/c10420p1258730333/i6473513895.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/ey/__/c10420p1258730333/i6473513888.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/ey/__/c10420p1258730333/i6473513890.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/ey/__/c10420p1258730333/i6473513870.jpg?pictureSize=W640
Ala Wingfoil Gravity 1800cm Carbon;390.0;Tangel, 03112;"Ala de wingfoil Gravity de carbono con 1800cm².

- Diseño aerodinámico.
- Material de carbono.
- Incluye funda de transporte.
- Incluye bolsa con herramientas.";https://es.wallapop.com/item/ala-wingfoil-gravity-1800cm-carbon-1217342654;[];[];False;2026-07-03;Envío disponible;Reservado;https://cdn.wallapop.com/images/10420/k4/rv/__/c10420p1217342654/i6207820081.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k4/rv/__/c10420p1217342654/i6207820120.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k4/rv/__/c10420p1217342654/i6207820185.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k4/rv/__/c10420p1217342654/i6207820259.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k4/rv/__/c10420p1217342654/i6207820318.jpg?pictureSize=W640
Vela Wingfoil F-One Strike v2 4mq;240.0;Forte village, 09010;Vendo vela wingfoil F-One Strike v2 di 4 metri quadrati, completa di leash e sacca, in buone condozioni generali. Quattro riparazioni sul canopie effettuate con nastro dacron spi, collaudate che non pregiudicano il suo utilizzo, il tessuto è in ottime condozioni. Bladder centrale sostituito da poco. € 240 piu eventuale spedizione.;https://es.wallapop.com/item/vela-wingfoil-f-one-strike-v2-4mq-1147679770;[];[];False;2026-06-03;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383343.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383776.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383835.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383801.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383752.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383651.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383537.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383884.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383435.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/iz/ar/__/c10420p1147679770/i5761383503.jpg?pictureSize=W640
Arnés Mystic Talla XL kitesurf;90.0;Can Pastilla, 07610;"Arnés de la marca Mystic en talla XL. Diseñado para ofrecer comodidad y soporte.

- Color azul y gris.
- Cierre ajustable.

Muchos más artículos de kitesurf, wingfoil, efoil, wake, wakefoil, SUP/ Stand Up Paddle, surf, y mucho más en nuestro perfi";https://es.wallapop.com/item/arnes-mystic-talla-xl-1239141097;[];[];False;2026-03-09;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kh/r3/__/c10420p1239141097/i6349842346.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kh/r3/__/c10420p1239141097/i6349842358.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kh/r3/__/c10420p1239141097/i6349842357.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kh/r3/__/c10420p1239141097/i6349842360.jpg?pictureSize=W640
Wing Ezzy Flight 4.0;490.0;Barcelona, 08021;"Vendo ala de wingfoil Ezzy Flight en estado impecable. Ezzy es fabricante de velas de windsurf desde hace 40 años, manteniendo una reputacion de fabricar velas a prueba de bombas. De fabricacion y diseño propio, el wing es potente, estable, comodo y construido para durar.
Al 50% del precio PVP

- Marca: Ezzy
- Modelo: Flight
- Incluye: Mochila
- Color: Gris y blanco";https://es.wallapop.com/item/wing-ezzy-flight-4-0-1225210352;[];[];False;2026-06-22;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/k9/gi/__/c10420p1225210352/i6256101306.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k9/gi/__/c10420p1225210352/i6256101408.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k9/gi/__/c10420p1225210352/i6256101327.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k9/gi/__/c10420p1225210352/i6256101342.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k9/gi/__/c10420p1225210352/i6256101393.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k9/gi/__/c10420p1225210352/i6256101356.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k9/gi/__/c10420p1225210352/i6256101383.jpg?pictureSize=W640
Tabla Wing Foil North;840.0;Málaga, 29017;"Tabla de wingfoil north seek 2025 68L , usada 5 veces . En perfectas condiciones.
En la web el precio es de 1650 €
HAGO ENVIOS 📦";https://es.wallapop.com/item/tabla-wing-foil-north-1258821577;[68];[];False;2026-07-08;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kt/gw/__/c10420p1258821577/i6473913269.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/gw/__/c10420p1258821577/i6473913411.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/gw/__/c10420p1258821577/i6473913354.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/gw/__/c10420p1258821577/i6473913332.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/gw/__/c10420p1258821577/i6473913381.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kt/gw/__/c10420p1258821577/i6473913448.jpg?pictureSize=W640
Wing F-one Strike V5 5.5;805.0;Castelldefels, 08860;"Wing F-one Strike V5 de 5.5 metros 
Asas rígidas y leash incluido 

Perfecto estado muy poco uso, sin reparaciones ni parches 

- Modelo: Strike V5
- Tamaño: 5.5 m²
- Marca: F-one
- Ingeniería: SAL ENGINEERING
- Tejido: Technoforce

(P)

Somos PopKite, una tienda especializada en material de Surf, Kite, Windsurf y Wingfoil. Con mas de 20 años de experiencia, brindamos asesoramiento técnico personalizado a riders de todos los niveles y ofrecemos siempre productos de la mejor calidad.
Contáctanos ante cualquier duda, estaremos encantados de ayudarte.";https://es.wallapop.com/item/wing-f-one-strike-v5-5-5-1223890794;[];[5.5];False;2026-07-02;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/k8/o8/__/c10420p1223890794/i6246857542.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k8/o8/__/c10420p1223890794/i6246857560.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k8/o8/__/c10420p1223890794/i6246857572.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k8/o8/__/c10420p1223890794/i6246857596.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k8/o8/__/c10420p1223890794/i6246857586.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k8/o8/__/c10420p1223890794/i6246857604.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k8/o8/__/c10420p1223890794/i6246857611.jpg?pictureSize=W640
Arnes kitesurf apex ion;239.0;Sant Antoni de Portmany, 07820;"PVP 339€
Precio con descuento 239€
Tallas disponibles M
2 años de garantia
Somos tienda oficial duotone y ion
Envio seguro por wallapop

Kitesurf, wingfoil, surf, windsurf, nadar, deportes acuáticos";https://es.wallapop.com/item/arnes-kitesurf-apex-ion-1050066923;[];[];False;2025-09-28;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/hd/6k/__/c10420p1050066923/i5134324589.jpg?pictureSize=W640
Chaleco Wing Foil Talla S;50.0;Las Rozas de Madrid, 28230;Chaleco para deportes acuáticos. Para chica en talla S. Nunca se ha usado. Es el tope de gama de Decathlon. Se compró para wingfoil.;https://es.wallapop.com/item/chaleco-wing-foil-talla-s-1213516163;[];[];False;2026-06-12;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/k2/hv/__/c10420p1213516163/i6191643503.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k2/hv/__/c10420p1213516163/i6182104394.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k2/hv/__/c10420p1213516163/i6182104409.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k2/hv/__/c10420p1213516163/i6182104418.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k2/hv/__/c10420p1213516163/i6182104428.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/k2/hv/__/c10420p1213516163/i6182104441.jpg?pictureSize=W640
Tabla Wingfoil Duotone Sky Style Team Edition 85L;550.0;Los Belones, 30385;"Tabla de wingfoil Duotone Sky Style team edition de 85 litros. Diseñada para un rendimiento óptimo.

- Volumen: 85L
- Modelo: Sky Style
- Marca: Duotone
- Año: 2024";https://es.wallapop.com/item/tabla-wingfoil-duotone-sky-style-85l-2024-1253363097;[85];[];False;2026-06-16;Envío disponible;Disponible;https://cdn.wallapop.com/images/10420/kq/7x/__/c10420p1253363097/i6440948604.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kq/7x/__/c10420p1253363097/i6440948619.jpg?pictureSize=W640|https://cdn.wallapop.com/images/10420/kq/7x/__/c10420p1253363097/i6440948630.jpg?pictureSize=W640
